Unnamed: 0,Timeline for Project,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,We are sooting for a 12-week Launch time frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milestone 1: Foundation & Compliance (Weeks 1–4),,,,,,Milestone 2: Infrastructure & Tools (Weeks 4–6),,,,,,Milestone 3: Content & Creative Assets (Weeks 6–8),,,,,,Milestone 4: Marketing & Outreach (Weeks 8–12),,,,,,Milestone 5: Launch Campaign (Week 12+),,,,
,,,,,,,"Goal: Set up platforms for fundraising, sales, and community.",,,,,,Goal: Develop the book’s visual identity and core campaign media.,,,,,,Goal: Launch public-facing campaign and build credibility.,,,,,,Goal: Official rollout of the book series and fundraising pipeline.,,,,
,Dependencies: none – these must come first,,,,,,Dependencies: Bank account + SuperPAC need to exist for integrations to work.,,,,,,"Dependencies: Some of these can start earlier (like book cover design), but final integration requires the infrastructure (landing page, donation setup).",,,,,,Dependencies: Needs creative assets + functioning landing page.,,,,,,Dependencies: Everything before this feeds into the public push.,,,,
,Task,Status,Deadline,Owner,Notes:,,Task,Status,Owner,Deadline,Notes:,,Task,Priority,Status,Owner,Notes:,,Task,Priority,Status,Owner,Notes:,,Task,Priority,Status,Owner,Notes:
,1.1 Set up SuperPAC,WAITING,,,,,2.1 Anedot demo & setup ( donations ),DEPENDENCY,,,,,3.1 Book conver finalized,,,,,,Landing page live ( with donation + pre order options),,,,,,Anounce Lunch date with videos + landing page,,,,
,  MISSION & IDENTITY,,,,,,2.1.1 Gather Pac Info,,,,,,Website ,,,,DRAFT,,,,,,,,,,,,
,1.1.1 Define mission & Identity,APPROVED,,,,,2.1.2 Create Anedot Account,,,,,,Landing page,,,,DRAFT,,Targe 50 orgs list ourreach campaign launched,,,,,,begin selling books + merch through shipify / printful,,,,
,1.1.2  Choose PAC name,APPROVED,,,,,2.1.3 Configure Financial Setting,,,,,,PAC BRANDING,,,,DRAFT,,,,,,,,Host engagement events ( better mode community),,,,
,1.1.3  Draft Public-facing descriptin of purpose,WAITING,,,,,2.1.4 Build Donation / Action Pages,,,,,,,,,,,,,,,,,,,,,,
,LEAGAL & ENTITY FORMATION,,,,,,2.1.5 Add Disclaimers & Compliance Info for SUPERPAC,,,,,,,,,,,,,,,,,,,,,,
,1.1.4  Obtain EIN  (IRS Employer Identification Number),WAITING,,,,,2.1.6 Virtual Terminal / Offline Donation setup,,,,,,Landing page video produced,,,,,,,,,,,,,,,,
,1.1.5 Decide entity structure 501(c)(4),APPROVED,,,,,2.1.7 Team Permissions & Roles ,,,,,,Icebreaker content crafted ( conversation starter),,,,,,,,,,,,,,,,
,1.1.6  Appoint Treasurer (Debbie),APPROVED,,,,,2.1.8 Site Tested ,,,,,,,,,,,,,,,,,,,,,,
,1.1.7  Appoint Custodian of Records (Debbie)?,NEED INPUT,,,,,2.1.9 Reporting & Reconcile ,,,,,,,,,,,,,,,,,,,,,,
,1.1.8  Draft Internal Governance Policies ,WAITING,,,DRAFT,,2.2 Set up Shopify ,DEPENDENCY,,,,,,,,,,,,,,,,,,,,,
,FINANCIAL SET UP,,,,,,Account basic set up,,,,,,,,,,,,,,,,,,,,,,
